1_keyword,1_line1,1_line2,1_line3,1_line4,1_line5,1_score,1_type,2_keyword,2_line1,2_line2,2_line3,2_line4,2_line5,2_score,2_type,3_letter_word
birthday,There was a jealous boy named Dwight,Who got all his money in a night.,"When he went to midnight,","He was met by a light,",So he had to go down on the right.,-2.9127256084572200,LimGen,birthday,There was a jealous girl named Kate,Who got a new boyfriend on her date.,"When she arrived to school,","She was met by a pool,",So she had to sit down on the gate.,-2.9388115771792200,Candidate_Rank,3
fiance,There was a shy grandpa named Jake,Who loved a good story on his cake.,"The day of his birthday,","He was ready to play,",So he went to work down on the lake.,-2.889623312279580,LimGen,fiance,There once was a grandpa named Jake,Who told all his story in a cake.,"It was for my birthday,","And we went to the play,",So we had to go down on the lake.,-2.9458029360482200,Candidate_Rank,2
dog,There was a lady named Renee,Who got a flat tire on her way.,"When she went to someone,","She was told by her son,",That the person she called was a stray.,-2.719131606630980,Candidate_Rank,dog,There was a lucky girl named Loraine,Who got a free ride on our train.,"When she started to walk,","She was afraid to talk,",So she had to sit down on the plane.,-2.6967362761497500,LimGen,2
surprise,There was a clever boy named Dwight,Who did all his writing in a night.,"He would go to a show,","He would take a photo,",And that is the basis of this site.,-2.8212646078318400,Candidate_Rank,surprise,There was a lucky boy named Dwight,Who did a great job on our night.,"We got back from the show,","We were ready to go,",We knew that our schedule was tight.,-2.7562201191340700,LimGen,0
love,There was a lucky man named Scot,Who got all his money in a lot.,"It was for his birthday,","And he went to the play,",So he had to go down on the spot.,-2.812140921751660,LimGen,love,There was a lady named Kay,Who got a flat tire on her way.,"When she arrived to work,","She was stopped by a clerk,",But she said he was helping them pray.,-2.9983082693070200,Candidate_Rank,2
philosophy,There was a wise teacher named Renee,Who taught a great sermon on her way.,"When she returned to work,","She was told by her clerk,",She was ordered to leave and to stay.,-2.9872307097539300,LimGen,philosophy,There was a wise teacher named Renee,Who taught a great sermon on her way.,"When she returned to work,","She was told by a clerk,",She had not come home needed this day.,-3.208499025553470,Candidate_Rank,2
gun,There was a loud boy named Chase,Who put a big smile on our face.,"He came back from the war,","And he went to the store,",And he looked down and saw our place.,-2.6167406804408100,LimGen,gun,There was a loud girl named Grace,Who put a big smile on our face.,"We decided to go,","So we went down the row,",So we had to sit down on the base.,-2.6778159595560300,Candidate_Rank,2
school,There was a lucky girl named Renee,Who had a small baby on her way.,"When she arrived to work,","She was stopped by a clerk,",So she went to sit down on the tray.,-2.733285364779560,Candidate_Rank,school,There was a shy girl named Lenore,Who had a big smile on her before.,"When she started to talk,","She was able to walk,",So she had to sit down on the floor.,-2.5135379460989500,LimGen,2
holiday,There was a quiet chef named Emeline,Who spent a small fortune on her wine.,"When she returned to town,","She was met by a frown,",But she said she was taking it fine.,-2.8355771210044600,Candidate_Rank,holiday,There was a silly chef named Kip,Who spent all his money in a trip.,"When he returned to town,","He was met by a clown,",And that is the story of this strip.,-2.7893433533608900,LimGen,2
cheat,There was a greedy man named Theodore,Who put all his money in a war.,"When he went to combat,","He was killed by a cat,",Because he was eating his mentor.,-3.0180912991364800,Candidate_Rank,cheat,There was a greedy man named Nick,Who put all his money in a stick.,"He got back from the war,","And he came to the door,",And he looked down and saw my lipstick.,-2.8621299664179500,LimGen,2
pillow,There was a skinny boy named Ted,Who slept a good deal on our bed.,"And in our bedroom,","Which we shared in the room,",We had plenty to eat and to read.,-2.862680737049350,LimGen,pillow,There was a bright lady named Grace,Who felt a strange feeling on her face.,"She looked like a fairy,","Her hair was a cherry,",But her eyes were down to her birthplace.,-3.1288044303655600,Candidate_Rank,2
union,There was a fierce teacher named Dwight,Who sought out his students for a fight.,"When they arrived to school,","They were met by a pool,",And that is the story of this night.,-3.007303307764230,LimGen,union,There was a fierce teacher named Jacque,Who sought out her students for a break.,"When she returned to school,","She was struck by her cool,",But she knew she was doing it fake.,-3.0854897564277100,Candidate_Rank,3
death,There once was a soldier named Javier,Who lived all his life in a nightmare.,"He came back from the war,","And he went to the store,",And he looked down and said his prayer.,-2.6900619704163400,LimGen,death,There was a cruel judge named Grace,Who brought a false verdict on my case.,"When i went to trial,","I was shocked by her style,",But i knew her intentions and face.,-2.9175761515094400,Candidate_Rank,2
heartbreak,There was a cruel girl named Maire,Who cried all her life in a nightmare.,"She came back from the grave,","And she went to the cave,",And she sat down and said her prayer.,-2.752858121286740,Candidate_Rank,heartbreak,There once was a boy named Pierre,Who cried all his life in a nightmare.,"He came back from the grave,","And he went to the cave,",And he sat down and wrote his prayer.,-2.6840159888520400,LimGen,2
politics,There was a general named Chase,Who learned a great deal on our race.,"He was back from the war,","And he came to the store,",And he went down and saw our place.,-2.912941319247090,LimGen,politics,There was a writer named Renee,Who learned a new language on her way.,"When she started to talk,","She was able to walk,",So she asked to sit down on the tray.,-3.0045833680633200,Candidate_Rank,2
bank,There was a greedy man named Pete,Who owned a small shop on our street.,"He worked on the railroad,","And he came to the road,",And he went down and bought our wheat.,-2.677675200626250,LimGen,bank,There once was a lawyer named Natividad,Who lost all her money in a fraud.,"She decided to go,","And she came to the show,",And we sat down and did our pod.,-2.7586416034929200,Candidate_Rank,3
beer,There was a funky chef named Dwight,Who cooked a great meal on our night.,"We got back from the bar,","And we walked to the car,",And we sat down and had our bite.,-2.674840788046520,LimGen,beer,There was a lucky chef named Dwight,Who ate all his dinner in a night.,"When he returned to town,","His wife had a breakdown,",And he took down and buried his site.,-2.965633378874870,Candidate_Rank,2
sports,There was a smart boy named Claudio,Who played a big role on our show.,"He would go to a game,","He would get a nickname,",But you knew he was playing it pro.,-2.864582340233030,Candidate_Rank,sports,There was a smart boxer named Claudio,Who played a big role on our show.,"He was on the program,","He was on a programme,",And he came down and had his photo.,-2.828945549265030,LimGen,1
doctor,There was a surgeon named Lorraine,Who did a great job on our brain.,"She was a physician,","She was on a mission,",And she came down and saw our pain.,-2.60581444700559,Candidate_Rank,doctor,There was a dentist named Dane,Who did a great job on our brain.,"He was a physician,","He was on a mission,",And he came down and saw our pain.,-2.605691418548430,LimGen,1
smart,There was a wise lady named Kay,Who put a big smile on our way.,"When we arrived to work,","We were told by a clerk,",We were welcome to come and to stay.,-2.9594660781440300,LimGen,smart,There was a clever boy named Rick,Who put all his money in a trick.,"When he learned to talk,","He was able to walk,",And that is the story of this stick.,-2.9598502443818000,Candidate_Rank,1
pride,There was a fierce woman named Nicolle,Who felt a deep burning on her soul.,"When she came to yourself,","You were shocked by your self,",And that is the meaning of this scroll.,-2.949663951061670,Candidate_Rank,pride,There was a fierce woman named Nicolle,Who felt a deep longing on her soul.,"When she started to cry,","She was afraid to die,",So she chose to go down on the hole.,-2.8124116053804800,LimGen,3
river,There was a brave farmer named Kay,Who crossed a dead body on her way.,"When she returned to town,","She was met by a clown,",So she got up and put on the play.,-2.85926846482537,Candidate_Rank,river,There was a farmer named Kay,Who crossed a dead body on her way.,"When she returned to town,","She was met by a clown,",And that is the story of this play.,-2.8066207552328700,LimGen,3
tears,There once was a girl named Nicolle,Who felt a strange presence on her soul.,"It was like a prayer,","And she prayed to the air,",And her prayers grew stronger and whole.,-2.978403591340590,Candidate_Rank,tears,There was a nervous boy named Chase,Who felt a strange feeling on his face.,"When he started to cry,","He was chased by a guy,",And he fell down and covered his place.,-2.7289142571389700,LimGen,2
useful,There was a smart author named Dwight,Who put a short story on his site.,"When he started to post,","He was told by his host,",He was welcome to read and to write.,-2.969683788716790,Candidate_Rank,useful,There was a smart cleaner named Dot,Who found a dead body on her lot.,"When she returned to work,","She was told by a clerk,",She was not the manager she thought.,-2.7416151146734900,LimGen,2
angry,There was a fierce woman named Michele,Whose death provoked a riot in hell.,"When she arrived to fight,","She was killed by a knight,",But she does not die within her cell.,-3.1561705643130900,LimGen,angry,There was a loud lady named Kai,Who panicked as i stepped on a guy.,"She screamed for her boyfriend,","Her brother and her friend,",And they came down and helped her nearby.,-3.1768582184468500,Candidate_Rank,3
planet,There once was a woman named Brande,Who lived a perfect life on her land.,"She was a nobody,","Her husband was a tree,",And she did not own anything grand.,-2.9001627990911700,Candidate_Rank,planet,There was a warrior named Brande,Who lived a long time on our land.,"She came back from the war,","And she went to the door,",And stood on the threshold beforehand.,-2.8514889113364700,LimGen,3
art,There was a teacher named Amal,Who drew a big picture on her wall.,"It looked like a photo,","But it really was though,",And that is the story of this doll.,-2.9045193930787400,Candidate_Rank,art,There was a neat teacher named Kay,Who made a big impact on my way.,"She was a musician,","She was on a mission,",She was ready to go and to play.,-2.6919887249668400,LimGen,2
ball,There was a lucky girl named Freda,Who made a huge impact on my head.,"She was like a spring,","She was the perfect thing,",She was easy to write and to read.,-2.8476593984711600,LimGen,ball,There was a lucky boy named Chase,Who put a big smile on our face.,"When we started to play,","It was easy to say,",But we knew we were doing it place.,-2.896120703148270,Candidate_Rank,2
scary,There was a boring boy named Valentin,Who seemed a good fit on our scene.,"When we started to talk,","He was ready to walk,",But we needed his hands and protein.,-3.3885184079408600,Candidate_Rank,scary,There was a boring boy named Joaquin,Who seemed a good fit on our scene.,"When we started to talk,","He was ready to walk,",He was willing to learn and to lean.,-3.11518781451929,LimGen,1
body,There was a nervous man named Chase,Who put a big smile on our face.,"We got back from the break,","And we went to the lake,",And we sat down and took our place.,-2.6431849461161700,LimGen,body,There was a lady named Grace,Who put a big smile on our face.,"When we arrived to work,","We were told by a clerk,",That the lady we met had a case.,-2.86678211891558,Candidate_Rank,0
alien,There was a warrior named Brande,Who captured an area of land.,"When she began to fight,","She was struck by a light,",And she fell down and wounded her hand.,-2.7581281810998900,LimGen,alien,There was a warrior named Kip,Who trapped a young woman on his ship.,"When she refused to fight,","She was killed by a knight,",And now she is a prisoner hip.,-3.086853411409160,Candidate_Rank,2
weight,There was a wise boxer named Dewitt,Who lost all his money in a fit.,"When he returned to work,","He was told by a clerk,",He was ordered to leave and to quit.,-2.739025584422050,LimGen,weight,There once was a girl named Gwyn,Who felt a strange presence on her skin.,"It started out one day,","She went outside to play,",She walked through the forest and fell in.,-2.789783239364620,Candidate_Rank,1
