1_line1,1_line2,1_line3,1_line4,1_line5,1_type,1_score,2_line1,2_line2,2_line3,2_line4,2_line5,2_type,2_score,3_letter_word
There once was a naughty old Salmon,Who maintained that he served god and mammon,But please understand,The poor fish was canned,When he talked this nonsensical gammon,Human_Poets,0,There was a neat grandma named Kay,Who had a new baby on her way.,"When she returned to town,","Her son had a breakdown,",And that is the story of this day.,LimGen,-2.7580371556743500,3
There was a young woman from Thrace,Whose corset was too tight to lace,Her mother said nelly,There’s more in your belly,Than ever went in through your face,Human_Poets,0,There was a warrior named Brande,Who captured an area of land.,"When she began to fight,","She was struck by a light,",And she fell down and wounded her hand.,LimGen,-2.7581281810998900,2
There once was a monarch of Spain,Who was terribly naughty and vain,When women were nigh,He would open his fly,And have them with sneers of disdain,Human_Poets,0,There was a tailor named Jess,Who cut out my nipples for a dress.,"It was for my birthday,","Which i was in the way,",So i had to go down on the mess.,LimGen,-2.775112257762390,3
There was a small boy of Quebec,Who was buried in snow to his neck,When they said are you friz,He replied yes I is,But we don’t call this cold in quebec,Human_Poets,0,There was a lame artist named Romeo,Who played a big role on our show.,"He was a musician,","He was on a mission,",He was willing to work and to grow.,LimGen,-2.775805611722170,1
There was a wise grandma named Grace,Who lost all her money in a case.,"She came back from the grave,","She was able to save,",And now she has a family face.,LimGen,-2.776947651433970,There was an old mickey called Cassidy,Who was noted for impromptu mendacity,When asked did he lie,He replied to reply,Would be to impugn his veracity,Human_Poets,0,0
There was a lieutenant named Grace,Who fought a great battle on my place.,"She was back from the war,","And she came to the door,",And she sat down and opened her face.,LimGen,-2.781863151174600,There was a young person called Tate,Who went out to dine at,But I will not relate,What that person named tate,And his ate at,Human_Poets,0,0
There was a lucky man named Chase,Who did a great job on our place.,"We got back from the show,","We were ready to go,",And that is the story of this case.,LimGen,-2.784405074082320,There was a young lady from Purdbright,Who never could quite get her turd right,She only did shits,In little round bits,Just like a mouse or a bird might,Human_Poets,0,0
There was an old man of Bengal,Who purchased a bat and a ball,Some gloves and some pads,It was one of his fads,For he never played cricket at all,Human_Poets,0,There was a loud dancer named Brande,Who played a big part on our band.,"When we started to play,","It was every day,",And now it is a week beforehand.,LimGen,-2.784690570214700,2
There was a young monarch called Ed,Who took mrs simpson to bed,As they bounced up and down,He said bugger the crown,Give the thing to my brother instead,Human_Poets,0,There was a general named Chase,Who lived a long time on our place.,"He was back from the war,","And he came to the door,",So we had to go down on the base.,LimGen,-2.7873104271643300,2
There was an old man on some Rocks,Who shut his wife up in a box,When she said let me out,He exclaimed without doubt,You will pass all your life in that box,Human_Poets,0,There was a silly chef named Kip,Who spent all his money in a trip.,"When he returned to town,","He was met by a clown,",And that is the story of this strip.,LimGen,-2.7893433533608900,2
There was an old person of Ware,Who rode on the back of a bear,When they asked does it trot,He said certainly not,It’s a moppsikin floppsikin bear,Human_Poets,0,There was a warrior named Brande,Who fought a great battle on her land.,"When she arrived to fight,","She was struck by a light,",And fell on the treacherous wasteland.,LimGen,-2.7922943194707200,2
There were three little owls in a Wood,Who sang hymns whenever they could,What the words were about,One could never make out,But one felt it was doing them good,Human_Poets,0,There was a cruel boy named Theodore,Whose father killed a woman in war.,"He came back from the grave,","And he went to the cave,",And he sat down and opened his door.,LimGen,-2.8017662465572400,2
There was a bully named Dane,Who got a free ride on our train.,"When he started to walk,","He was stopped by a rock,",And he fell down and shattered his brain.,LimGen,-2.8043197551742200,There was a young wife from Vancouver,Who could use her mouth just like a hoover,But her husband she said,Was no fun in bed,Cos he just didn’t like that,Human_Poets,0,3
There was a farmer named Kay,Who crossed a dead body on her way.,"When she returned to town,","She was met by a clown,",And that is the story of this play.,LimGen,-2.8066207552328700,There once was a fellow from Bowen,Whose penis kept growin and growin,It grew so tremendous,Heavy and pendulous,Twas no good for rooting just showing,Human_Poets,0,1
There was an old man of Nantucket,Who kept all his cash in a bucket,His daughter called nan,Ran away with a man,And as for the bucket nantucket,Human_Poets,0,There was a lucky man named Scot,Who got all his money in a lot.,"It was for his birthday,","And he went to the play,",So he had to go down on the spot.,LimGen,-2.812140921751660,2
There was a young fellow named Fisher,Who was fishing for fish in a fissure,Then a cod with a grin,Pulled the fisherman in,Now they’re fishing the fissure for fisher,Human_Poets,0,There was a fierce woman named Nicolle,Who felt a deep longing on her soul.,"When she started to cry,","She was afraid to die,",So she chose to go down on the hole.,LimGen,-2.8124116053804800,3
There once was a girl from Kentucky,Who considered herself very lucky,She’d unzipped the flies,Of hundreds of guys,And never found one that was yucky,Human_Poets,0,There was a loud man named Claudio,Who did a great job on our show.,"He came back from the break,","And we got to the lake,",So we had to get down on the snow.,LimGen,-2.8193771926795700,3
There was a young lady of Chiswick,Who consulted a doctor of physic,He tested her hormones,And sexual performones,Then prescribed her a strong aphrodisic,Human_Poets,0,There was a lucky chef named Dwight,Who ate all his chicken in a night.,"When he returned to town,","He was met by a clown,",And that is the story of this site.,LimGen,-2.819844400510190,2
There was a smart farmer named Pete,Who owned a small farm on our street.,"The owner of our town,","His wife had a breakdown,",She was afraid to live and to eat.,LimGen,-2.820338510697890,There was a young maid of Peru,Who swore she never would screw,Except under stress,Of forceful duress,Like i’m ready how about you,Human_Poets,0,0
There once was a woman named Grace,Who felt a deep longing on her face.,"It was like a prayer,","And she prayed to the air,",And that is the meaning of this place.,LimGen,-2.821491469629110,There was a strange student from Yale,Who puts himself outside the pale,Said the judge please refrain,When passing through maine,From exposing yourself again in the train,Human_Poets,0,0
